ensembl_id,lfc_discovery,p_discovery,padj_discovery,lfc_replication,p_replication,padj_replication
ENSG00000138131,3.11083528993706,3.19684897998317e-37,5.27224333778824e-33,2.75845157195774,1.07711136415924e-34,1.3738321295206701e-31
ENSG00000119681,2.6501225732933,1.53463788394725e-25,1.2654623991029001e-21,2.06862292368441,2.7948068571892898e-11,6.748020902263801e-10
ENSG00000137673,3.52396384374726,1.25754857077714e-22,6.91316367641888e-19,3.31365955093678,3.3650381706218297e-26,1.43067767787481e-23
ENSG00000163075,2.60542812339935,1.01499833606076e-20,4.18483813957851e-17,0.990307163983855,1.1823730664663e-07,1.10747433837341e-06
ENSG00000217801,3.12060131547723,2.4189031711478e-20,7.978510219713921e-17,0.0221629415236489,0.89714475255949,0.921342609797091
ENSG00000187144,3.85621599266678,7.772290607807981e-20,2.13634361173282e-16,0.245517533316343,0.17151660121605,0.243166973384596
ENSG00000134258,3.13960220428788,3.7130892390951104e-19,7.69544139379093e-16,2.1883392932477,3.68043553537112e-11,8.60312803710335e-10
ENSG00000162909,1.06784417766394,3.7329330069322997e-19,7.69544139379093e-16,1.11536146642628,3.76886302794721e-12,1.15410611469582e-10
ENSG00000148180,1.98756397520296,6.659281569568021e-19,1.22027635161462e-15,2.18544886681325,3.09594851162327e-22,7.3244149626597e-20
ENSG00000079931,3.1071482598876,9.03519504970473e-19,1.4900843675973e-15,2.95515636555797,3.8474357850677e-13,1.5009092578556598e-11
ENSG00000186340,1.91084758576024,2.66726687118441e-18,3.99896047632484e-15,2.86632054989493,2.93816729779661e-21,5.949040331138699e-19
ENSG00000159212,3.06024296022278,3.6583377605088896e-18,5.02777552885938e-15,1.42142148119568,3.67223359768525e-13,1.4479656562055699e-11
ENSG00000102287,2.41689199365347,6.5540597010998395e-18,8.314580968502961e-15,0.500214966180376,0.0086124338076018,0.0195054704068408
ENSG00000154096,2.5804908903351,1.1876140038993601e-17,1.39900929659345e-14,2.87505282312782,1.7892006253614602e-19,2.7394924213144802e-17
ENSG00000164692,1.47784150426595,1.50862409047343e-17,1.6586819000058502e-14,1.4262503523356,6.137970476041511e-09,8.10731660896685e-08
ENSG00000198542,2.68473433017204,2.6242117220919402e-17,2.5733774543225e-14,2.18470180784085,6.217570940401619e-11,1.37245042217925e-09
ENSG00000125398,2.17127368792583,2.65264472007534e-17,2.5733774543225e-14,2.29727541295106,5.25766149287055e-24,1.59009028407062e-21
ENSG00000135480,2.72536856539873,3.15887816858572e-17,2.89423437535087e-14,2.96669302858565,4.17891041656789e-17,4.15567850781138e-15
