ensembl_id	lfc_a	p_a	lfc_b	p_b	concordant
ENSG00000138131	3.11083528993706	3.19684897998317e-37	2.75845157195774	1.07711136415924e-34	True
ENSG00000119681	2.6501225732933	1.53463788394725e-25	2.06862292368441	2.7948068571892898e-11	True
ENSG00000137673	3.52396384374726	1.25754857077714e-22	3.31365955093678	3.3650381706218297e-26	True
ENSG00000163075	2.60542812339935	1.01499833606076e-20	0.990307163983855	1.1823730664663e-07	True
ENSG00000217801	3.12060131547723	2.4189031711478e-20	0.0221629415236489	0.89714475255949	True
ENSG00000187144	3.85621599266678	7.772290607807981e-20	0.245517533316343	0.17151660121605	True
ENSG00000134258	3.13960220428788	3.7130892390951104e-19	2.1883392932477	3.68043553537112e-11	True
ENSG00000162909	1.06784417766394	3.7329330069322997e-19	1.11536146642628	3.76886302794721e-12	True
ENSG00000148180	1.98756397520296	6.659281569568021e-19	2.18544886681325	3.09594851162327e-22	True
ENSG00000079931	3.1071482598876	9.03519504970473e-19	2.95515636555797	3.8474357850677e-13	True
ENSG00000186340	1.91084758576024	2.66726687118441e-18	2.86632054989493	2.93816729779661e-21	True
ENSG00000159212	3.06024296022278	3.6583377605088896e-18	1.42142148119568	3.67223359768525e-13	True
ENSG00000102287	2.41689199365347	6.5540597010998395e-18	0.500214966180376	0.0086124338076018	True
ENSG00000154096	2.5804908903351	1.1876140038993601e-17	2.87505282312782	1.7892006253614602e-19	True
ENSG00000164692	1.47784150426595	1.50862409047343e-17	1.4262503523356	6.137970476041511e-09	True
ENSG00000198542	2.68473433017204	2.6242117220919402e-17	2.18470180784085	6.217570940401619e-11	True
ENSG00000125398	2.17127368792583	2.65264472007534e-17	2.29727541295106	5.25766149287055e-24	True
ENSG00000135480	2.72536856539873	3.15887816858572e-17	2.96669302858565	4.17891041656789e-17	True
ENSG00000138744	-0.859132672378973	6.96248081555881e-17	-0.0339086836604456	0.795358389343196	True
ENSG00000084636	2.34700196174628	9.534312110584561e-17	1.46804388011058	8.74454405462974e-05	True
ENSG00000100767	2.23701885098302	2.92750204408253e-16	0.707463779086139	9.86937389272907e-05	True
ENSG00000050555	2.65907608955028	4.20658689721851e-16	2.76901817981195	1.69402677036796e-16	True
ENSG00000146038	2.27188512048161	5.10759817390009e-16	2.48962615104304	7.464064181010519e-18	True
ENSG00000166145	2.36027115706248	6.60674082288783e-16	2.76550970519585	3.0195174512453304e-15	True
ENSG00000182718	1.24166004235855	7.70245335613122e-16	2.15188518309728	1.8098060925893799e-29	True
ENSG00000240583	2.09423233297634	8.86142431012933e-16	2.09030627484249	1.6908541556958599e-16	True
ENSG00000103064	1.39562751729659	1.29713289132041e-15	0.77120114633302	1.80543060683776e-05	True
ENSG00000121570	-2.12376790281598	1.2989510106294701e-15	0.128962349619741	0.536489686479666	False
ENSG00000130300	1.88005398079857	1.34311444599019e-15	3.62819483463667	2.3903732817146497e-13	True
ENSG00000124875	2.80517030212793	1.63268503049502e-15	4.28997164382118	1.4605956400720899e-33	True
ENSG00000234899	2.05643818299549	1.8449874308143e-15	-0.365581310094748	0.0406631695510641	False
ENSG00000176170	2.36809253874725	1.9476468149555203e-15	0.724501637498376	0.0099462806352607	True
ENSG00000078098	3.05640922228243	2.31177798461708e-15	2.70260493952314	1.23146224533127e-13	True
ENSG00000163531	1.7502869689887	3.1385908276697e-15	1.17713364034856	8.3404902613146e-06	True
ENSG00000164318	-1.56769023445902	3.933950601343271e-15	-0.841647102928294	3.9778160393646e-06	True
ENSG00000137819	1.99990336909269	5.002108214262521e-15	1.24894161836009	1.2495020290383101e-09	True
ENSG00000162366	3.06584316510942	6.10105360460173e-15	3.40982887519915	5.71932884081447e-14	True
ENSG00000164199	-1.13267455407185	6.985270825864441e-15	-0.851673587863233	4.51826099776831e-06	True
ENSG00000010319	2.64779231756111	8.558311559317462e-15	1.84377748473056	4.09780515493104e-08	True
ENSG00000119280	1.18880855290616	9.36085593623818e-15	2.37521415844347	3.31149671895985e-22	True
ENSG00000101384	1.58792807956738	9.75015874535928e-15	1.24951074312002	1.03522921343888e-08	True
ENSG00000163393	2.48207366868072	1.00165115048298e-14	2.7150679934646	5.02579751037772e-17	True
ENSG00000104435	4.8073513444516	1.1710017880179999e-14	4.77482641539259	7.81358434156168e-21	True
ENSG00000080293	3.72222312950676	1.98624533771375e-14	0.145949640655798	0.46055822167559	True
ENSG00000140416	0.813684249528278	2.17594398727032e-14	1.29494833255304	7.228810868309361e-15	True
