ensembl_id	baseMean	log2FC	lfcSE	log2FC_shrunk	stat	pvalue	padj	deg
ENSG00000184557	603.642193150149	5.16591699984163	0.387340042022734	5.10665340189872	13.3369041136687	1.4120275937909e-40	3.9545244791708e-36	TRUE
ENSG00000169429	292.255061375467	6.82931005148375	0.533723197640619	6.74723894775799	12.7956028174781	1.73500905102284e-37	2.42953317414728e-33	TRUE
ENSG00000108691	324.729338072301	4.35881594780606	0.349156708296119	4.30271875188903	12.4838384720633	9.14684347244175e-36	8.53888327630679e-32	TRUE
ENSG00000136997	297.449807385016	3.88856527769432	0.312914213201586	3.83922074075642	12.4269372039973	1.86649519352481e-35	1.29675576005836e-31	TRUE
ENSG00000137331	142.765360006261	4.74273587016829	0.382179685897614	4.68509821059532	12.4097016277282	2.31513918456467e-35	1.29675576005836e-31	TRUE
ENSG00000142871	703.700305443274	4.93327136143132	0.40191424835809	4.87118338059671	12.2744375985296	1.24252187407167e-34	5.79967793420854e-31	TRUE
ENSG00000108244	96.7785648160792	6.45958734285389	0.541056171759435	6.37365627927707	11.9388479052891	7.4244430943117e-33	2.97041361856134e-29	TRUE
ENSG00000185022	198.681757944337	3.47115647790065	0.296799774288841	3.42246917782391	11.6952800460103	1.34741981961705e-31	4.7169799335244e-28	TRUE
ENSG00000119508	258.51980757903	4.30326116020481	0.370455816101041	4.24037295410722	11.6161252521167	3.4126560194373e-31	1.06194271644846e-27	TRUE
ENSG00000159167	106.183035462696	4.42713223909331	0.38984036164708	4.36114932692267	11.3562695776	6.90297799133513e-30	1.93324801625332e-26	TRUE
ENSG00000118523	725.17807617062	3.9103441858229	0.354596552761453	3.84828091333344	11.0275865779595	2.81313011311414e-28	7.16222926798859e-25	TRUE
ENSG00000162772	382.928591550018	3.71513041869984	0.339902867058138	3.65523579997576	10.9299767043871	8.28696953894131e-28	1.93404057422992e-24	TRUE
ENSG00000158859	1534.86407113591	3.76565115900179	0.345531101603168	3.70427102611418	10.8981540056169	1.17619305776359e-27	2.533881751979e-24	TRUE
ENSG00000150347	823.291326064341	1.91825805828566	0.17685362531574	1.88800722529466	10.8465860106682	2.07013808140159e-27	4.14116336483807e-24	TRUE
ENSG00000163739	46.9898888363081	4.48202943453456	0.418950886316762	4.40335241103366	10.6982216315107	1.03750242558521e-26	1.93708619539595e-23	TRUE
ENSG00000059804	543.433047373804	3.03765285287434	0.287300062069387	2.98550324649128	10.5731019721837	3.97137196201014e-26	6.9513901980035e-23	TRUE
ENSG00000101608	1854.21966078799	1.60562158085854	0.152086648554007	1.58027855923424	10.5572816294151	4.70077916319592e-26	7.74411889673323e-23	TRUE
ENSG00000153234	218.094248981681	3.37435647983813	0.32095289124961	3.31559241500552	10.5135568858728	7.48174029829622e-26	1.16407565996713e-22	TRUE
ENSG00000108551	198.65168769942	4.72976437608223	0.453760877046103	4.64526269030902	10.4234732770972	1.93745812152189e-25	2.85581327112327e-22	TRUE
ENSG00000128342	82.4909534562671	4.45979331481524	0.428479263131043	4.37784056378388	10.4084227605929	2.2695049588979e-25	3.04805391931432e-22	TRUE
ENSG00000144655	478.129877113	3.40114626600494	0.326789712644896	3.34027545459151	10.4077519407742	2.28555067862603e-25	3.04805391931432e-22	TRUE
ENSG00000163435	720.701233164683	2.73643136382711	0.263419592540312	2.67886185598504	10.3881087106622	2.8086716443844e-25	3.57543900330134e-22	TRUE
ENSG00000222041	84.8626740243279	2.29519028126295	0.222901149521214	2.25463886361748	10.2968974641583	7.27705094862044e-25	8.86091690726365e-22	TRUE
ENSG00000124875	119.908761051775	4.28754529593886	0.417933183563498	4.20872843583541	10.2589252649938	1.07900917772221e-24	1.24628073242549e-21	TRUE
ENSG00000130844	717.713448871483	2.14533663867868	0.209179264270633	2.10730179771854	10.2559718151751	1.11251225846737e-24	1.24628073242549e-21	TRUE
ENSG00000211445	2980.84845816921	1.81525865612429	0.177182896432327	1.78313381914618	10.245112212722	1.24480353570176e-24	1.34084491618706e-21	TRUE
ENSG00000184545	95.0340161964313	3.69244839200751	0.360672969451169	3.62335759965812	10.2376632150345	1.34444310635117e-24	1.39453606061004e-21	TRUE
ENSG00000123358	480.006839466163	5.03897011329483	0.492991021583017	4.94216133434629	10.221220859387	1.59321503914699e-24	1.59355644236966e-21	TRUE
ENSG00000159388	351.742048156031	2.48640042153261	0.244712212087947	2.44092110424411	10.1605081345063	2.9752175924595e-24	2.8732394446352e-21	TRUE
ENSG00000103966	273.966618724769	1.59219628108527	0.157363769624326	1.5650631824997	10.1179342925396	4.60021817995729e-24	4.29445701159613e-21	TRUE
ENSG00000038427	1222.19786320026	2.81025801459246	0.279463346795585	2.75721589543887	10.0559091087106	8.65191484477813e-24	7.81630732718891e-21	TRUE
ENSG00000006327	117.097004580967	4.32274355293484	0.431541755524697	4.24048965999109	10.0169763356479	1.28370163964191e-23	1.12347962874411e-20	TRUE
ENSG00000143514	921.870888080156	1.64262809261661	0.164323040989277	1.61376698790053	9.9963345537392	1.58142530585966e-23	1.34210294290623e-20	TRUE
ENSG00000110848	145.950882933167	3.43580910494602	0.346900379920792	3.36808465870866	9.90431058544969	3.98710367875736e-23	3.28420075374349e-20	TRUE
ENSG00000178726	163.502974178934	2.61802169507676	0.265239361038528	2.56706002523374	9.87041170973291	5.59345523428831e-23	4.47572306547081e-20	TRUE
ENSG00000144476	194.406042296314	3.71066913245592	0.377384214839022	3.63667223005724	9.83260291911983	8.14849590459711e-23	6.33907711955963e-20	TRUE
ENSG00000188042	320.793559605549	1.84885008646248	0.188806496171886	1.81340888838824	9.79230123935633	1.21498602631882e-22	9.19645909542837e-20	TRUE
ENSG00000151014	357.456091667347	2.26631827402079	0.231603980508041	2.22182301019432	9.78531659537739	1.30187207205635e-22	9.59479717105531e-20	TRUE
ENSG00000182718	1827.0081328982	2.17482160500233	0.222424754694682	2.13173784874719	9.7777857864232	1.4024502212761e-22	1.00710309992457e-19	TRUE
ENSG00000137801	6244.82625385195	3.19087126358787	0.327626728390455	3.12618753953051	9.73934965338081	2.0486120166043e-22	1.4343357034255e-19	TRUE
ENSG00000154553	354.421502239008	3.23907250861723	0.333209343881769	3.17308194697816	9.72083336824591	2.45761756555702e-22	1.67873262295098e-19	TRUE
ENSG00000115602	174.346190138218	3.53032302317954	0.364572231750899	3.45780310890658	9.68346658280793	3.54487950834031e-22	2.36375941691854e-19	TRUE
ENSG00000073756	152.483800498835	3.73812721820812	0.387578299205341	3.66102898804443	9.64483105961422	5.16962464452445e-22	3.36698855336167e-19	TRUE
ENSG00000168398	121.966558555497	4.77219900459563	0.495311434715352	4.67155926974878	9.63474426415804	5.70338366594978e-22	3.63020370337703e-19	TRUE
