ensembl_id	baseMean	log2FC	lfcSE	log2FC_shrunk	stat	pvalue	padj	deg	approvedSymbol	biotype	sm_tier	sm_categories	sm_evidence
ENSG00000138131	96.6534318028918	3.14956231717206	0.247062489564865	3.11083528993706	12.7480392621283	3.19684897998317e-37	5.27224333778824e-33	True	LOXL4	protein_coding	B	High-Quality Ligand	strong
ENSG00000119681	99.1045116201694	2.69864730301993	0.258352266356	2.6501225732933	10.4456111072054	1.53463788394725e-25	1.2654623991029001e-21	True	LTBP2	protein_coding	none		
ENSG00000137673	61.3034642825481	3.59852145994227	0.367615448570896	3.52396384374726	9.78882001268312	1.25754857077714e-22	6.91316367641888e-19	True	MMP7	protein_coding	A	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family	strong
ENSG00000163075	28.3398486507345	2.66598313719193	0.285606333508565	2.60542812339935	9.33446784754855	1.01499833606076e-20	4.18483813957851e-17	True	CFAP221	protein_coding	none		
ENSG00000217801	8.50486203455077	3.19551044574511	0.345758932644018	3.12060131547723	9.24201848180477	2.4189031711478e-20	7.978510219713921e-17	True	PTPN11BP	transcribed_unprocessed_pseudogene	none		
ENSG00000187144	16.4031219347596	3.95134719936692	0.433436940001106	3.85621599266678	9.11631389645017	7.772290607807981e-20	2.13634361173282e-16	True	SPATA21	protein_coding	none		
ENSG00000134258	35.49339903337	3.22021767642455	0.359994311422838	3.13960220428788	8.94519044952957	3.7130892390951104e-19	7.69544139379093e-16	True	VTCN1	protein_coding	none		
ENSG00000162909	819.801673242024	1.09307600845091	0.122205106274364	1.06784417766394	8.94460175826726	3.7329330069322997e-19	7.69544139379093e-16	True	CAPN2	protein_coding	B	High-Quality Ligand;Med-Quality Pocket;Druggable Family	strong
ENSG00000148180	1003.37500753041	2.03848737686664	0.229547860199062	1.98756397520296	8.88044599979665	6.659281569568021e-19	1.22027635161462e-15	True	GSN	protein_coding	B	Structure with Ligand	weak
ENSG00000079931	37.5512056993629	3.18888761792212	0.360471110150246	3.1071482598876	8.84644435608996	9.03519504970473e-19	1.4900843675973e-15	True	MOXD1	protein_coding	none		
ENSG00000186340	185.959945173074	1.96148986473208	0.224818567699736	1.91084758576024	8.72476808655687	2.66726687118441e-18	3.99896047632484e-15	True	THBS2	protein_coding	none		
ENSG00000159212	27.3581057008285	3.1416654305889	0.361570581844935	3.06024296022278	8.68894093805522	3.6583377605088896e-18	5.02777552885938e-15	True	CLIC6	protein_coding	none		
ENSG00000102287	198.510318534264	2.48312643076551	0.287984093882221	2.41689199365347	8.62244298735836	6.5540597010998395e-18	8.314580968502961e-15	True	GABRE	protein_coding	A	Approved Drug;High-Quality Ligand;Druggable Family	strong
ENSG00000154096	105.893368363613	2.65258602677787	0.31009420537532	2.5804908903351	8.55412961866648	1.1876140038993601e-17	1.39900929659345e-14	True	THY1	protein_coding	none		
ENSG00000164692	814.767506262897	1.51819083970511	0.178055896719471	1.47784150426595	8.52648447861873	1.50862409047343e-17	1.6586819000058502e-14	True	COL1A2	protein_coding	none		
ENSG00000198542	118.198310075519	2.76163335232771	0.326350040991793	2.68473433017204	8.46218172344938	2.6242117220919402e-17	2.5733774543225e-14	True	ITGBL1	protein_coding	none		
ENSG00000125398	71.5705100655605	2.23296493585862	0.263914983079359	2.17127368792583	8.46092521843358	2.65264472007534e-17	2.5733774543225e-14	True	SOX9	protein_coding	none		
ENSG00000135480	231.836459246083	2.80351469774537	0.332148924271235	2.72536856539873	8.44053523249108	3.15887816858572e-17	2.89423437535087e-14	True	KRT7	protein_coding	B	Structure with Ligand	weak
ENSG00000138744	835.075903086581	-0.88094186947622	0.105531511554995	-0.859132672378973	-8.34766655471563	6.96248081555881e-17	6.04343334790505e-14	True	NAAA	protein_coding	B	Structure with Ligand;High-Quality Ligand;Druggable Family	strong
ENSG00000084636	63.4324685670589	2.41661437850894	0.290792384209019	2.34700196174628	8.3104459048415	9.534312110584561e-17	7.86199376638803e-14	True	COL16A1	protein_coding	none		
ENSG00000100767	47.1566377883611	2.30524624059181	0.281943289225297	2.23701885098302	8.17627632466795	2.92750204408253e-16	2.29906493861948e-13	True	PAPLN	protein_coding	none		
ENSG00000050555	92.4109901038501	2.74142828314062	0.337096975294511	2.65907608955028	8.13246182569724	4.20658689721851e-16	3.15341050495126e-13	True	LAMC3	protein_coding	none		
ENSG00000146038	109.660137595753	2.34261324701235	0.288893739272393	2.27188512048161	8.1089097081593	5.10759817390009e-16	3.66236996017219e-13	True	DCDC2	protein_coding	C	Med-Quality Pocket	weak
ENSG00000166145	50.8221809531681	2.43415342948656	0.301347054788456	2.36027115706248	8.07757497811064	6.60674082288783e-16	4.53993206879442e-13	True	SPINT1	protein_coding	none		
ENSG00000182718	1586.03379552574	1.27905432856854	0.158714530769297	1.24166004235855	8.05883571194712	7.70245335613122e-16	5.08115442997264e-13	True	ANXA2	protein_coding	B	Structure with Ligand;High-Quality Pocket	strong
ENSG00000240583	526.874765201557	2.15397276145097	0.267851053583934	2.09423233297634	8.04168112325906	8.86142431012933e-16	5.62086960471742e-13	True	AQP1	protein_coding	B	Structure with Ligand;High-Quality Pocket	strong
ENSG00000103064	56.1171164794449	1.43838954702552	0.179914119546473	1.39562751729659	7.99486749929027	1.29713289132041e-15	7.63815291147246e-13	True	SLC7A6	protein_coding	none		
ENSG00000121570	18.4841818546359	-2.19307160796651	0.274315859320711	-2.12376790281598	-7.99469492357175	1.2989510106294701e-15	7.63815291147246e-13	True	DPPA4	protein_coding	none		
ENSG00000130300	92.3064225560442	1.93267999009029	0.241869968959617	1.88005398079857	7.99057443304578	1.34311444599019e-15	7.63815291147246e-13	True	PLVAP	protein_coding	none		
ENSG00000124875	30.3283864871907	2.89654477559665	0.363591912131647	2.80517030212793	7.96647196747294	1.63268503049502e-15	8.975413840974619e-13	True	CXCL6	protein_coding	none		
ENSG00000234899	51.8301326901078	2.12293513504143	0.266990727191922	2.05643818299549	7.95134406864772	1.8449874308143e-15	9.81533313193206e-13	True	SOX9-AS1	lncRNA	none		
ENSG00000176170	19.839345870094	2.44546482683664	0.30781339550675	2.36809253874725	7.94463419244863	1.9476468149555203e-15	1.0037684772576998e-12	True	SPHK1	protein_coding	B	Structure with Ligand;High-Quality Ligand;Druggable Family	strong
